*Server name,IP addresses,*Cores,*Memory (In MB),*OS name,OS version,OS architecture,Server type,Hypervisor,CPU utilization percentage,Memory utilization percentage,Network adapters,Network In throughput,Network Out throughput,Boot type,Number of disks,Storage in use (In GB),Disk 1 size (In GB),Disk 1 read throughput (MB per second),Disk 1 write throughput (MB per second),Disk 1 read ops (operations per second),Disk 1 write ops (operations per second),Disk 2 size (In GB),Disk 2 read throughput (MB per second),Disk 2 write throughput (MB per second),Disk 2 read ops (operations per second),Disk 2 write ops (operations per second)
VM001.corp.contoso.com,192.168.1.101,4,4096,Microsoft Windows Server 2016 (64-bit),10.0.14393,x64,Virtual,Vmware,45,60,2,45,15,UEFI,1,75,128,200,200,200,299,,,,,
VM002.corp.contoso.com,192.168.1.102,4,4096,Microsoft Windows Server 2016 (64-bit),10.0.14393,x64,Virtual,Vmware,38,55,1,40,18,UEFI,2,120,128,190,185,195,280,128,180,175,190,270
VM003.corp.contoso.com,192.168.1.103,4,4096,Microsoft Windows Server 2016 (64-bit),10.0.14393,x64,Virtual,Hyper-V,42,58,2,42,16,UEFI,2,128,128,195,190,198,285,128,185,180,195,275
VM004.corp.contoso.com,192.168.1.104,4,4096,Microsoft Windows Server 2016 (64-bit),10.0.14393,x64,Virtual,Vmware,40,54,1,38,14,UEFI,1,80,128,185,180,190,275,128,0,0,0,0
VM005.corp.contoso.com,172.21.12.10;fe80::14ff:fb5b:b729:1ebe,4,4096,Microsoft Windows Server 2016 (64-bit),10.0.14393,x64,Virtual,Vmware,48,62,2,47,19,UEFI,2,110,128,205,198,210,305,128,190,185,200,290
VM006.corp.contoso.com,192.168.1.106,4,4096,Microsoft Windows Server 2016 (64-bit),10.0.14393,x64,Virtual,Vmware,50,50,2,50,20,UEFI,1,64,128,200,200,200,299,128,200,200,200,299
VM007.corp.contoso.com,192.168.1.107,4,4096,Microsoft Windows Server 2016 (64-bit),10.0.14393,x64,Virtual,Vmware,50,50,2,50,20,UEFI,1,64,128,200,200,200,299,128,200,200,200,299
VM008.corp.contoso.com,192.168.1.108,4,4096,Microsoft Windows Server 2016 (64-bit),10.0.14393,x64,Virtual,Hyper-V,50,50,2,50,20,UEFI,1,128,128,200,200,200,299,128,200,200,200,299
VM009.corp.contoso.com,192.168.1.109,4,4096,Red Hat Enterprise Linux 7.1,7.1,x64,Physical,AWS,50,50,2,50,20,BIOS,1,128,128,200,200,200,299,128,200,200,200,299
VM010.corp.contoso.com,172.21.12.8;fe80::14ff:fb5b:b729:1ebd,4,4096,Oracle Linux 7,7.2,x64,Physical,AWS,50,50,2,50,20,BIOS,1,128,128,200,200,200,299,128,200,200,200,299
